ID,Case Number,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11615655,JC176465,11/02/2018 01:00:00 PM,051XX N CHRISTIANA AVE,5001,OTHER OFFENSE,FALSE,FALSE,1713,17,39,13,26,,,2018,03/07/2019 04:21:18 PM,,,
11615646,JC176509,09/05/2018 07:00:00 AM,024XX S MARSHALL BLVD,890,THEFT,FALSE,FALSE,1033,10,12,30,6,,,2018,03/07/2019 04:21:18 PM,,,
11615605,JC176432,03/01/2018 11:00:00 AM,083XX S CONSTANCE AVE,1581,SEX OFFENSE,FALSE,TRUE,412,4,8,45,17,,,2018,03/07/2019 04:21:18 PM,,,
11615393,JC175808,10/18/2018 08:00:00 PM,073XX S KINGSTON AVE,281,CRIM SEXUAL ASSAULT,FALSE,FALSE,334,3,7,43,2,,,2018,03/07/2019 04:21:18 PM,,,
11615288,JC175589,04/16/2018 08:18:00 AM,023XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,131,1,3,33,11,,,2018,03/07/2019 04:21:18 PM,,,
11615280,JC175164,12/19/2018 07:30:00 PM,081XX S SOUTH SHORE DR,1153,DECEPTIVE PRACTICE,FALSE,FALSE,422,4,7,46,11,,,2018,03/07/2019 04:21:18 PM,,,
11615186,JC175972,12/08/2018 12:00:00 PM,029XX N NAGLE AVE,1130,DECEPTIVE PRACTICE,FALSE,FALSE,2511,25,36,19,11,,,2018,03/07/2019 04:21:18 PM,,,
11615118,JC175860,09/12/2018 12:01:00 AM,044XX N WINCHESTER AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1912,19,47,4,11,,,2018,03/07/2019 04:21:18 PM,,,
11615112,JC175807,06/15/2018 09:00:00 AM,011XX W DIVERSEY PKWY,810,THEFT,FALSE,FALSE,1933,19,44,6,6,,,2018,03/07/2019 04:21:18 PM,,,
11615110,JC175843,02/11/2018 12:00:00 PM,012XX N MONITOR AVE,2820,OTHER OFFENSE,FALSE,TRUE,2531,25,29,25,08A,,,2018,03/07/2019 04:21:18 PM,,,
11615098,JC175842,06/11/2018 11:00:00 PM,040XX N ASHLAND AVE,496,BATTERY,FALSE,TRUE,1912,19,47,6,04B,,,2018,03/07/2019 04:21:18 PM,,,
11615081,JC175532,11/28/2018 07:00:00 AM,020XX N ORCHARD ST,1585,SEX OFFENSE,FALSE,FALSE,1812,18,43,7,17,,,2018,03/07/2019 04:21:18 PM,,,
11615039,JC175743,12/06/2018 09:00:00 AM,075XX S KINGSTON AVE,890,THEFT,FALSE,FALSE,421,4,7,43,6,,,2018,03/07/2019 04:21:18 PM,,,
11614856,JC175393,07/01/2018 07:00:00 AM,035XX W ARMITAGE AVE,1582,OFFENSE INVOLVING CHILDREN,FALSE,FALSE,1422,14,26,22,17,,,2018,03/07/2019 04:21:18 PM,,,
11614854,JC175352,07/01/2018 11:00:00 AM,040XX W WRIGHTWOOD AVE,281,CRIM SEXUAL ASSAULT,FALSE,TRUE,2524,25,31,22,2,,,2018,03/07/2019 04:21:18 PM,,,
11614853,JC175542,11/01/2018 12:00:00 AM,052XX S MAY ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,934,9,20,61,11,,,2018,03/07/2019 04:21:18 PM,,,
